id,name,latitude,longitude,dpcapacity,online date
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,15,6/20/2013
210,Ashland Ave & Division St,41.903448,-87.669313,19,8/16/2013
114,Sheffield Ave & Addison St,41.94688,-87.65445,27,8/2/2013
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,23,8/21/2013
53,Wells St & Erie St,41.893832,-87.634195,19,6/17/2013
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,19,6/24/2013
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,6/20/2013
115,Sheffield Ave & Wellington Ave,41.936253,-87.653566,23,7/22/2013
116,Western Ave & Winnebago Ave,41.915533,-87.687051,15,7/26/2013
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,23,8/2/2013
118,Sedgwick St & North Ave,41.910579,-87.638618,19,8/1/2013
229,Southport Ave & Roscoe St,41.943739,-87.66402,19,8/29/2013
71,Morgan St & Lake St,41.88548331,-87.65230486,15,6/24/2013
119,Ashland Ave & Lake St,41.88541,-87.66732,19,7/28/2013
293,Broadway & Wilson Ave,41.965485,-87.657238,19,9/18/2013
120,Wentworth Ave & Archer Ave,41.854564,-87.631937,15,8/6/2013
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,6/21/2013
330,Lincoln Ave & Addison St,41.946176,-87.673308,19,9/26/2013
230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19,8/20/2013
261,Hermitage Ave & Polk St,41.871514,-87.669886,15,9/5/2013
122,Ogden Ave & Congress Pkwy,41.87501,-87.67328,15,7/28/2013
184,State St & 35th St,41.83104,-87.62688,19,8/3/2013
201,Indiana Ave & 40th St,41.82168,-87.6216,15,8/14/2013
123,California Ave & Milwaukee Ave,41.922695,-87.697153,15,7/26/2013
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,19,9/17/2013
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582,11,9/12/2013
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,19,8/22/2013
205,Paulina St & 18th St,41.857901,-87.668745,15,8/15/2013
124,Damen Ave & Cullerton St,41.855048,-87.675726,15,8/3/2013
200,King Dr & 47th St,41.809851,-87.616279,11,8/14/2013
203,Western Ave & 21st St,41.85394,-87.685243,15,8/15/2013
238,Ravenswood Ave & Montrose Ave,41.961626,-87.674101,15,8/22/2013
242,Damen Ave & Leland Ave,41.967094,-87.679028,15,8/22/2013
348,California Ave & 21st St,41.854016,-87.695445,15,10/14/2013
280,Morgan St & 31st St,41.8378,-87.65114,11,9/13/2013
206,Halsted St & Archer Ave,41.847203,-87.646795,15,8/14/2013
202,Halsted St & 18th St,41.857499,-87.646277,15,8/15/2013
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,15,8/14/2013
338,Calumet Ave & 18th St,41.857611,-87.619407,15,9/28/2013
253,Clifton Ave & Lawrence Ave,41.968873,-87.658857,15,9/5/2013
62,McCormick Place,41.85137517,-87.61883465,27,6/18/2013
295,Broadway & Argyle St,41.972972,-87.659637,15,9/18/2013
294,Broadway & Berwyn Ave,41.978353,-87.659753,15,9/18/2013
239,Western Ave & Leland Ave,41.966555,-87.688487,15,8/21/2013
267,Lake Park Ave & 47th St,41.809443,-87.591875,15,9/17/2013
345,Lake Park Ave & 56th St,41.793242,-87.587782,15,10/9/2013
220,Hampden Ct & Diversey Pkwy,41.93262,-87.642385,19,8/19/2013
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,6/27/2013
243,Lincoln Ave & Leavitt St,41.962391,-87.684146,15,8/22/2013
299,Halsted St & Roscoe St,41.943662,-87.648917,15,9/19/2013
126,Clark St & North Ave,41.911974,-87.631942,15,7/29/2013
231,Sheridan Rd & Montrose Ave,41.96167,-87.65464,15,8/20/2013
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,10/29/2013
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,8/3/2013
219,Damen Ave & Cortland St,41.916027,-87.677411,11,8/20/2013
215,Damen Ave & Madison St,41.88137,-87.67493,15,8/15/2013
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,7/25/2013
130,Damen Ave & Division St,41.90331,-87.67695,15,7/26/2013
300,Broadway & Barry Ave,41.937601,-87.644005,15,9/19/2013
75,Canal St & Jackson Blvd,41.877988,-87.640769,23,6/15/2013
19,Loomis St & Taylor St,41.869417,-87.660996,15,6/21/2013
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,9/23/2013
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,8/16/2013
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,7/26/2013
228,Damen Ave & Melrose Ave,41.9406,-87.6785,11,8/20/2013
308,Seeley Ave & Roscoe St,41.943403,-87.679618,11,9/27/2013
258,Logan Blvd & Elston Ave,41.930584,-87.685126,19,9/9/2013
94,Clark St & Armitage Ave,41.918306,-87.636282,19,6/22/2013
