trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
2354158,6/30/2014 18:34,6/30/2014 18:38,2208,234,113,Bissell St & Armitage Ave,288,Larrabee St & Armitage Ave,Subscriber,Male,1974
2354157,6/30/2014 18:34,6/30/2014 18:51,1849,1057,177,Theater on the Lake,256,Broadway & Sheridan Rd,Subscriber,Male,1991
2354156,6/30/2014 18:33,6/30/2014 18:37,1482,225,91,Clinton St & Washington Blvd,198,Halsted St & Madison St,Subscriber,Male,1980
2354155,6/30/2014 18:33,6/30/2014 18:42,690,513,306,Sheridan Rd & Buena Ave,244,Ravenswood Ave & Irving Park Rd,Subscriber,Female,1983
2354153,6/30/2014 18:33,6/30/2014 18:40,1283,370,300,Broadway & Barry Ave,232,Pine Grove Ave & Waveland Ave,Subscriber,Male,1974
2354150,6/30/2014 18:33,6/30/2014 18:56,2759,1362,300,Broadway & Barry Ave,126,Clark St & North Ave,Customer,,
2354148,6/30/2014 18:33,6/30/2014 18:48,2216,882,307,Southport Ave & Clybourn Ave,46,Wells St & Walton St,Customer,,
2354147,6/30/2014 18:33,6/30/2014 18:51,1966,1118,120,Wentworth Ave & Archer Ave,149,Calumet Ave & 33rd St,Subscriber,Female,1989
2354145,6/30/2014 18:33,6/30/2014 18:42,364,555,312,Clarendon Ave & Gordon Ter,295,Broadway & Argyle St,Subscriber,Male,1981
2354144,6/30/2014 18:33,6/30/2014 18:41,2302,503,307,Southport Ave & Clybourn Ave,302,Sheffield Ave & Wrightwood Ave,Subscriber,Female,1988
2354143,6/30/2014 18:33,6/30/2014 18:45,41,727,52,Michigan Ave & Lake St,5,State St & Harrison St,Customer,,
2354142,6/30/2014 18:33,6/30/2014 18:49,2733,963,217,May St & Fulton St,26,McClurg Ct & Illinois St,Subscriber,Male,1980
2354141,6/30/2014 18:33,6/30/2014 19:00,774,1641,255,Indiana Ave & Roosevelt Rd,181,LaSalle St & Illinois St,Customer,,
2354140,6/30/2014 18:33,6/30/2014 18:45,1143,751,48,Larrabee St & Kingsbury St,99,Lake Shore Dr & Ohio St,Subscriber,Male,1980
2354139,6/30/2014 18:33,6/30/2014 19:00,159,1629,255,Indiana Ave & Roosevelt Rd,181,LaSalle St & Illinois St,Customer,,
2354138,6/30/2014 18:33,6/30/2014 18:36,1507,181,150,Fort Dearborn Dr & 31st St,263,Rhodes Ave & 32nd St,Subscriber,Male,1977
2354134,6/30/2014 18:32,6/30/2014 18:46,1751,823,50,Clark St & Congress Pkwy,74,Kingsbury St & Erie St,Subscriber,Male,1984
